name,gender,boy,girl
Abrahim,M,13,0
Abrahm,M,1,0
Abrak,M,1,0
Abra-Lee,F,0,1
Abram,M,150,0
Abramham,M,1,0
Abramo,M,1,0
Abran,M,3,0
Abrar,M,8,0
Abrar-,M,1,0
Abraum,M,1,0
Abraxius,M,1,0
Abraz,M,1,0
Abre,F,0,1
Abreu,M,1,0
Abrey,M,1,0
Abrham,M,4,0
Abrheian,M,1,0
Abriel,M,3,0
Abriel ,M,2,0
Abrielle,F,1,1
Abrin,M,1,0
Abry,M,1,0
Abryel,M,1,0
Absaar,M,1,0
Absalom,M,3,0
Absera,M,1,0
Absham,M,1,0
Abshar,M,1,0
Abshir,M,4,0
Absidy,M,1,0
Absolam,M,1,0
Absolom,M,2,0
Abtin,M,1,0
Abu,M,9,0
Abubacarr,M,1,0
Abubakar,M,8,0
Abubakar ,M,4,0
Abu-Bakar ,M,1,0
Abubakarr,M,2,0
Abubakarr ,M,1,0
Abubakarsadik,M,1,0
Abubaker,M,1,0
Abubakr,M,11,0
Abu-Bakr,M,3,0
Abubeker,M,1,0
Abubkr,M,1,0
Abubokor,M,1,0
Abui,M,1,0
Abukar,M,3,0
Abul,M,3,0
Abulgoni,M,1,0
Abundance ,M,1,0
Abuoi,M,1,0
Aburi,M,1,0
Abuzar,M,1,0
Abyaan,M,2,0
Abyad,M,1,0
Abyan,M,5,0
Abyanto,M,1,0
Abyaz,M,1,0
Abyd,M,1,0
Abye,M,1,0
Abyenabiy,M,1,0
Abykai,M,1,0
Abyr,F,0,1
Acacious,M,1,0
Acacius,M,1,0
Acacsio,M,1,0
Acaden,M,1,0
Acadez,M,1,0
Acadian,M,1,0
Accell,M,1,0
Accom,M,1,0
Ace,M,108,0
Ace ,M,6,0
Aceah,M,1,0
Acedenn ,M,1,0
Aceel,M,1,0
Acelon,M,1,0
Acely,M,1,0
Acem,M,1,0
Acen,M,2,0
Acer,M,3,0
Acesa,M,1,0
Acesen ,M,1,0
Acesin,M,1,0
Aceson,M,1,0
Acesyn,M,1,0
Aceton,M,2,0
Aceton ,M,1,0
Acey,M,2,0
Aceyn,M,1,0
Achakh,M,1,0
Achal,M,1,0
Achebiu,M,1,0
Acheil,M,1,0
Acheon,M,1,0
Acher,M,1,0
Acheron,M,1,0
Acheson,M,1,0
Achiek,M,1,0
Achien,M,1,0
Achier,M,2,0
Achileus,M,1,0
Achilis,M,1,0
Achille,M,2,0
Achilles,M,30,0
Achilles-Hayes ,M,1,0
Achim,M,2,0
Achit,M,1,0
Achiwara,M,1,0
Achmad,M,1,0
Achor,M,1,0
Achouth,M,1,0
Achraf,M,2,0
Achuil,M,2,0
Achuoth,M,1,0
Achut,M,1,0
Achyut,M,3,0
Achyuth,M,1,0
Aciff,M,1,0
Acka,M,1,0
Ackeme,M,1,0
Ackle,M,1,0
Ackley,M,2,0
Acoy,M,1,0
Acoya,M,1,0
Acquilla,M,1,0
Acquim,M,1,0
Acyl,M,1,0
Ada,F,1,7
Adab,M,2,0
Adab ,M,1,0
Adabjot,M,1,0
Adady,M,1,0
Adael,M,1,0
Adah,F,0,1
Adahn,F,1,1
Adain,M,2,0
Adair,M,5,1
Adaire,F,0,2
Adakai,M,1,0
Adakiz,M,1,0
Adal,M,1,0
Adalaine,F,0,1
Adala-Marie,F,0,1
Adale,F,0,1
Adalin,M,1,0
Adalius,M,2,0
Adam,M,6732,0
Adama,M,2,0
Adamah,M,1,0
Adam-Arafat,M,1,0
Adamas,M,1,0
Adam-Berhane,M,1,0
Adam-Gabriel,M,1,0
Adam-Jay,M,1,0
Adam-Konrad,M,1,0
Adam-Laszlo,M,1,0
Adam-Magdi,M,1,0
Adam-Mustapha,M,1,0
Adamo,M,9,0
Adams,M,3,0
Adam-Saghar-Kenneth,M,1,0
Adamson,M,1,0
Adamu,M,1,0
Adam-Wade,M,1,0
Adam-Wadoud,M,1,0
Adam-Yassine,M,1,0
Adan,M,30,0
Adan ,M,2,0
Adania,F,0,1
Adao,M,2,0
Adaon,M,1,0
Adar,M,5,0
Adarius,M,3,0
Adarsh,M,7,0
Adas-Wandycz,M,1,0
Adav,M,1,0
Adaya,F,0,1
Addam,M,7,0
Addas,M,1,0
Adden,M,1,0
Adderson,M,1,0
Addica,M,1,0
Addie,F,0,1
Addis,M,3,0
Addis ,M,1,0
Addisen,M,1,0
Addison,M,156,0
Addison ,M,5,0
Addisu,M,1,0
Addla,F,0,1
Addlore,M,1,0
Addock,M,1,0
Addolorata,F,0,1
Addon,M,1,0
Addonaye,M,1,0
Addox,M,1,0
Addrick,M,1,0
Addy,F,0,1
Ade,M,1,0
Adé,M,2,0
Adeayo,M,1,0
Adeb,M,1,0
Adebayo,M,3,0
Adebayo ,M,1,0
Adebola,M,1,0
Adebomi,M,1,0
Adebukola,F,0,2
Adedamola,M,3,0
Adedamola ,M,1,0
Adedapo,M,1,0
Adedayo,M,4,0
Adedeji,M,3,0
Adedipo,M,1,0
Adee,M,1,0
Adeeb,M,12,0
Adeel,M,16,0
Adeel ,M,1,0
Adeem,M,4,0
Adeen,M,4,0
Adeen ,M,1,0
Adeena,F,0,1
Adeendra,M,1,0
Adeep,M,2,0
Adeer,M,1,0
Adeev,M,1,0
Adefemi,M,1,0
Adefogofoluwa,M,1,0
Adefolarin,M,1,0
Adegoke,M,1,0
Adeireoluwa,M,1,0
Adejare,M,1,0
Adejinmi,M,1,0
Adejoke,F,0,1
Adejoro,M,1,0
Adejuwon,M,1,0
Adekayode,M,1,0
Adekemi,F,0,2
Adekola,M,1,0
Adekoyejo,M,1,0
Adekunle,M,2,0
Adel,M,26,0
Adela,F,0,1
Adelai,F,0,1
Adelaide,F,0,2
Adelaine,F,0,1
Adélard,M,1,0
Adele,F,0,42
Adelee,F,0,1
Adelene,F,0,1
Adeleon,M,1,0
